"","race","age_r","gender","sup_hash","sup_letter","sup_donate","sup_authority","sup_prosecute","sup_access","sup_training","ntv_invisibility_1","ntv_invisibility_2","ntv_invisibility_3","ntv_invisibility_4","ntv_invisibility_5","ntv_invisibility_6","invisibility1_13","invisibility1_14","invisibility1_15","invisibility1_16","invisibility1_17","invisibility1_18","in_violence","racism_mini_1","racism_mini_2","racism_mini_3","racism_mini_4","racism_mini_5","racism_mini_6","racism_mini_7","racism_mini_8","racism_mini_9","racism_mini_10","ab_activists","ab_sex_work","ab_non_native_pers","ab_rez","ab_citizens","ab_runaways","ab_drug","ab_male_worker","ab_criminal","ab_two_parent","ab_tribal_police","ab_poverty","ab_native_comm","ab_society","ab_abusive","ab_laws","Support","Invsibility","VictimBlaming","StructuralForces","RaceMini"
"1",3,27,1,3,2,2,4,2,3,4,5,3,3,4,5,4,6,5,4,6,6,6,5,5,3,6,5,4,4,3,5,4,4,5,3,3,4,3,4,4,5,4,3,5,5,4,5,3,3,2.85714285714286,4.75,4,3.66666666666667,4.5
"2",3,31,2,2,3,2,3,2,3,2,3,4,4,2,3,3,3,2,4,4,2,3,4,3,2,2,2,2,2,1,1,3,2,4,3,4,4,5,5,3,5,3,4,4,3,3,2,2,4,2.42857142857143,3.41666666666667,3.66666666666667,4.66666666666667,4.2
"3",3,32,1,4,4,4,3,3,3,4,5,6,5,5,5,6,6,6,6,5,5,6,6,6,7,6,5,5,4,6,5,6,5,6,5,6,5,5,5,5,6,6,6,5,5,6,5,6,5,3.57142857142857,4.83333333333333,5.33333333333333,5,4.1
"4",3,48,2,1,1,1,1,1,1,1,4,4,3,4,5,5,6,2,6,3,6,5,6,6,2,6,2,2,2,2,6,4,6,5,4,4,4,3,5,4,4,4,3,3,5,3,3,4,4,1,4.75,4.33333333333333,3.83333333333333,5.8
"5",3,36,2,4,4,5,5,4,4,5,7,7,7,7,6,7,6,6,5,7,6,5,5,5,5,6,6,5,5,6,6,5,6,5,5,3,5,5,6,3,5,4,6,5,5,3,5,5,4,4.42857142857143,5.5,4.66666666666667,4.16666666666667,4.1
"6",4,23,2,3,3,3,3,3,3,3,3,5,4,4,3,4,3,4,4,4,4,4,4,4,4,3,4,5,5,4,3,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3.66666666666667,3.83333333333333,4,3.5
"7",4,36,2,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,4,4,2,3,3,3,5,4,3,5,5,5,5,5,5,5,5,5,5,5,5,3,3.16666666666667,4.33333333333333,4.5,3.7
"8",6,32,1,4,3,5,5,4,4,5,6,6,5,4,7,4,4,5,6,4,5,5,3,5,7,6,7,5,4,5,5,6,6,5,5,5,6,6,6,6,7,6,5,5,5,7,6,5,5,4.28571428571429,4.58333333333333,5.66666666666667,5,4
"9",3,28,1,1,1,1,3,3,1,1,4,3,3,3,5,4,4,4,3,4,3,4,6,5,4,3,4,4,4,4,3,4,4,3,5,5,3,2,3,5,4,5,6,6,7,2,6,5,5,1.57142857142857,3.83333333333333,4,4,3.9
"10",1,19,2,3,3,4,2,4,3,2,4,3,3,4,5,4,4,5,3,5,3,3,4,3,3,4,5,5,4,4,3,4,3,2,5,5,3,5,3,2,4,3,5,4,5,3,4,3,5,3,3.83333333333333,3,4.5,3.6
"11",3,36,2,5,4,5,5,5,5,5,2,6,1,5,6,3,1,6,2,6,6,5,2,1,6,1,7,7,7,6,1,2,2,1,4,6,2,7,2,3,5,2,1,5,3,1,6,2,3,4.85714285714286,3.41666666666667,2.33333333333333,4.66666666666667,1.4
"12",3,37,2,NA,5,3,5,5,5,5,4,6,1,4,5,2,2,4,2,2,1,2,2,4,5,4,7,7,7,4,1,2,2,4,2,4,2,6,2,2,4,2,4,4,4,2,4,4,4,4.66666666666667,2.58333333333333,2.33333333333333,4.33333333333333,2.3
"13",2,33,1,3,3,4,2,3,3,3,4,5,5,4,6,6,5,5,6,6,5,6,4,4,5,5,6,4,4,6,4,5,6,2,3,3,5,4,4,4,4,4,5,4,4,3,3,4,4,3,4.91666666666667,3.66666666666667,4,3.9
